Timestamp                       Thread     Type        Activity             PID    TTL  
2026-04-21 15:03:31.073755+0900 0x16b5     Activity    0x5bdc2              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:31.324920+0900 0x16b5     Activity    0x5bdc3              439    0    PriTypeV2: (InputMethodKit) Activate Server
2026-04-21 15:03:31.324924+0900 0x16b5     Activity    0x5bdc4              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:31.324943+0900 0x16b5     Activity    0x5bdc5              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:31.324948+0900 0x16b5     Activity    0x5bdc6              439    0    PriTypeV2: (InputMethodKit) Get valid marked text attributes
2026-04-21 15:03:31.325500+0900 0x16b5     Default     0x0                  439    0    PriTypeV2: (InputMethodKit) <private>
2026-04-21 15:03:31.325501+0900 0x16b5     Activity    0x5bdc7              439    0    PriTypeV2: (InputMethodKit) Set value for tag
2026-04-21 15:03:31.325711+0900 0x16b5     Activity    0x5bdc8              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:36.484697+0900 0x16b5     Activity    0x5bdc9              439    0    PriTypeV2: (InputMethodKit) Deactivate Server
2026-04-21 15:03:36.484704+0900 0x16b5     Activity    0x5bdca              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:36.485239+0900 0x16b5     Activity    0x5bdcb              439    0    PriTypeV2: (InputMethodKit) Activate Server
2026-04-21 15:03:36.485241+0900 0x16b5     Activity    0x5bdcc              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:36.485251+0900 0x16b5     Activity    0x5bdcd              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:36.485254+0900 0x16b5     Activity    0x5bdce              439    0    PriTypeV2: (InputMethodKit) Get valid marked text attributes
2026-04-21 15:03:36.485837+0900 0x16b5     Default     0x0                  439    0    PriTypeV2: (InputMethodKit) <private>
2026-04-21 15:03:36.485840+0900 0x16b5     Activity    0x5bdcf              439    0    PriTypeV2: (InputMethodKit) Set value for tag
2026-04-21 15:03:36.488899+0900 0x16b5     Activity    0x5c140              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:37.058503+0900 0x16b5     Activity    0x5c141              439    0    PriTypeV2: (InputMethodKit) Deactivate Server
2026-04-21 15:03:37.058507+0900 0x16b5     Activity    0x5c142              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:37.309410+0900 0x16b5     Activity    0x5c143              439    0    PriTypeV2: (InputMethodKit) Activate Server
2026-04-21 15:03:37.309413+0900 0x16b5     Activity    0x5c144              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:37.309430+0900 0x16b5     Activity    0x5c145              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:37.309433+0900 0x16b5     Activity    0x5c146              439    0    PriTypeV2: (InputMethodKit) Get valid marked text attributes
2026-04-21 15:03:37.309787+0900 0x16b5     Default     0x0                  439    0    PriTypeV2: (InputMethodKit) <private>
2026-04-21 15:03:37.309788+0900 0x16b5     Activity    0x5c147              439    0    PriTypeV2: (InputMethodKit) Set value for tag
2026-04-21 15:03:37.309952+0900 0x16b5     Activity    0x5c148              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:50.386548+0900 0x16b5     Activity    0x5c149              439    0    PriTypeV2: (InputMethodKit) Deactivate Server
2026-04-21 15:03:50.386553+0900 0x16b5     Activity    0x5c14a              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:50.387026+0900 0x1ce25    Default     0x0                  439    0    PriTypeV2: (libxpc.dylib) [com.apple.xpc:connection] [0x87297ed00] activating connection: mach=false listener=false peer=true name=com.apple.xpc.anonymous.0x872c64dc0.peer[922].0x87297ed00
2026-04-21 15:03:50.387184+0900 0x16b5     Activity    0x5c14b              439    0    PriTypeV2: (InputMethodKit) Activate Server
2026-04-21 15:03:50.387186+0900 0x16b5     Activity    0x5c14c              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:50.387808+0900 0x16b5     Activity    0x5c14d              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:50.387813+0900 0x16b5     Activity    0x5c14e              439    0    PriTypeV2: (InputMethodKit) Get valid marked text attributes
2026-04-21 15:03:50.388326+0900 0x16b5     Default     0x0                  439    0    PriTypeV2: (InputMethodKit) <private>
2026-04-21 15:03:50.388328+0900 0x16b5     Activity    0x5c14f              439    0    PriTypeV2: (InputMethodKit) Set value for tag
2026-04-21 15:03:50.388592+0900 0x16b5     Activity    0x5c380              439    0    PriTypeV2: (InputMethodKit) Menu
2026-04-21 15:03:51.466548+0900 0x16b5     Activity    0x5c381              439    0    PriTypeV2: (InputMethodKit) Deactivate Server
2026-04-21 15:03:51.466551+0900 0x16b5     Activity    0x5c382              439    0    PriTypeV2: (InputMethodKit) Get bundle identifier
2026-04-21 15:03:51.473520+0900 0x16b5     Activity    0x5c383              439    0    PriTypeV2: (InputMethodKit) Activate Server
